no,hotel_name,room_type,review_score,review_text,total_users,price_in_dollar
76,Douangpraseuth Hotel,N/A,6.8,Good ,"1,054",N/A
77,Day Inn Hotel,Deluxe Double Room,7.7,Very good ,218,31.95
78,Intouch Guest House,Standard Double Room,7.3,Very good ,675,12.63
79,Hoang Kim Hotel,Standard Double Room,7.5,Very good ,505,19.92
80,Phonethip Residence,Deluxe Double Bed,4.8,Fair ,3,36.78
81,ST Vegas Resort,Deluxe Double Non Smoking,5.4,Good ,8,71.06
82,Khamsaner Hotel,Standard Double Bed,6.4,Good ,83,14.26
83,Funky Monkey Cafe & Hostel,Dormitory Room with Single Bed,7.7,Very good ,102,11.40
84,Chandara Boutique Hotel,Superior Twin bed,8.1,Excellent ,575,39.72
85,PXT Hotel,Standard With Air Condition,6.3,Good ,47,12.20
86,Don Chan Palace Hotel & Convention,N/A,7.5,Very good ,844,N/A
87,Mixay Paradise Hotel,Double Room with Shared Bathroom,8.1,Excellent ,150,11.52
88,Settha Palace,Standard Queen,8.4,Excellent ,366,161.55
89,Capitol Residence,Studio,8.6,Excellent ,589,72.43
90,Villa de Mekong,King Room with Balcony,9.5,Exceptional ,18,28.55
91,Vientiane SP Hotel,Standard Double Room,7.7,Very good ,484,26.66
92,Heuan Lao Guesthouse,Standard Fan - Twin,7.2,Very good ,319,10.86
93,Phonethip Plaza Hotel,Standard Twin Room,5.9,Fair ,77,49.75
94,sunset mekong apartment,N/A,8.5,Excellent ,123,37.49
95,Mekong Hotel,Standard Twin B,7.3,Very good ,443,34.09
96,Central Boutique Hotel,Standard Double Room,6.7,Good ,275,18.55
97,ST Hotel Wattay Airport,Deluxe Twin Room,8.7,Excellent ,6,85.52
98,Chang Palace Vientiane,Deluxe Twin Room with Balcony,8,Excellent ,171,42.46
99,Phongsavath Boutique Hotel,Superior Double Room A,N/A,N/A,N/A,26.86
100,Memory Hotel,Deluxe Twin Room,6.9,Good ,180,22.83
101,Vientiane Star Hotel,Standard Double Bed,6.7,Good ,"1,055",21.38
102,Apartment Thidathip,N/A,8.6,Excellent ,63,14.06
103,Lucky Backpackers Hostel,Standard Double Room,7.4,Very good ,524,13.63
